Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,Subspecies
Protozoa,Plasmodiophoromycota,(No subphylum),Plasmodiophoromycetes,(No subclass),Plasmodiophorales,Plasmodiophoraceae,Plasmodiophora,Plasmodiophora brassicae,
Protozoa,Plasmodiophoromycota,(No subphylum),Plasmodiophoromycetes,(No subclass),Plasmodiophorales,Plasmodiophoraceae,Spongospora,Spongospora subterranea,Spongospora subterranea f. sp. Subterranea
Protozoa,Plasmodiophoromycota,(No subphylum),Plasmodiophoromycetes,(No subclass),Plasmodiophorales,Plasmodiophoraceae,Polymyxa,Polymyxa graminis,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium aphanidermatum,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium myriotylum,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium graminicolum,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Phytophthora,Phytophthora infestans,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Phytophthora,Phytophthora palmivora,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Plasmopara ,Plasmopara viticola,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Peronospora ,,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Basidiophora,,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Bremia,,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Sclerospora,Sclerospora graminicola,
Chromista,Oomycota,(No subphylum),Oomycetes,Peronosporomycetidae,Albuginales,Albuginaceae,Albugo,Albugo candida,
Fungi,Chytridiomycota,(No subphylum),Chytridiomycetes,(No subclass),Chytridiales,Synchytriaceae,Synchytrium,Synchytrium endobioticum,
Fungi,Chytridiomycota,(No subphylum),Chytridiomycetes,(No subclass),Spizellomycetales,Olpidiaceae,Olpidium,Olpidium brassicae,
Fungi,Zygomycota,Mucoromycotina,No Class,(No subclass),Mucorales,Mucoraceae,Mucor,,
