Group,Chemical,Compound,Class,Subclass,TradeName
 Contact Fungicides, Copper compounds, Copper sulphate, Bordeux Mixture,,
 Contact Fungicides, Copper compounds, Copper sulphate, Bordeux Paste,,
 Contact Fungicides, Copper compounds, Copper sulphate, Burgundy Mixture,,
 Contact Fungicides, Copper compounds, Copper sulphate, Cheshunt Compound,,
 Contact Fungicides, Copper compounds, Copper carbonate, Chaubattia Paste,,
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Fungimar
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Perenox
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Copper Sandoz
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Copper 4% dust
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Perecot
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Cuproxd
 Contact Fungicides, Copper compounds, Cuprous oxide,,, Kirt i copper
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Blitox
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Fytolan
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Blue copper 50
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Cupravit
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Cobox
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Cuprax
 Contact Fungicides, Copper compounds, Copper oxychloride,,, Mycop
 Contact Fungicides, Copper compounds, Copper hydroxide,,, Kocide
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Elemental Sulphur,SC: Sulphur dust, Sulphur dust
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Elemental Sulphur,SC: Wettable Sulphur, Cosan
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Elemental Sulphur,SC: Wettable Sulphur, Wetsulf
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Elemental Sulphur,SC: Wettable Sulphur, Microsul
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Elemental Sulphur,SC: Wettable Sulphur, Sulfux
 Contact Fungicides, Sulphur compounds, Inorganic Sulphur, Lime Sulphur,,
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Monoalkyl dithiocarbamates,SC: Zineb (Zinc ethylene bisdithiocarbamate), Hexathane
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Monoalkyl dithiocarbamates,SC: Maneb (Manganese ethylene bisdithiocarbamate), Dithane M22
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Monoalkyl dithiocarbamates,SC: Mancozeb (Maneb + Zinc ion), Indofil M45
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Monoalkyl dithiocarbamates,SC: Nabam (DSE) (Di Sodium ethylene bisdithiocarbamate), Dithane A-40
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Monoalkyl dithiocarbamates,SC: Vapam (SMDC) (Sodium methyl dithiocarbamate), Vapam
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ziram (Zinc dimethyl dithiocarbamate), Ziram
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ziram (Zinc dimethyl dithiocarbamate), Cuman
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ziram (Zinc dimethyl dithiocarbamate), Milbam
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ferbam (Ferric dimethyl dithiocarbamate), Coromat
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ferbam (Ferric dimethyl dithiocarbamate), Febam
 Contact Fungicides, Sulphur compounds, Organic Sulphur, Dialkyl dithiocarbamates,SC: Ferbam (Ferric dimethyl dithiocarbamate), Ferberk
