Kingdom,Division,Class,Order,Family,Genus,Species
Plantae,Tracheophytes,Monocotyledons,Alismatales,Araceae,Colocasia,Colocasia esculenta (Taro)
Plantae,Tracheophytes,Monocotyledons,Alismatales,Araceae,Amorphophallus,Amorphophallus paeoniifolius (Elephant Foot Yam)
Plantae,Tracheophytes,Monocotyledons,Alismatales,Araceae,Xanthosoma,Xanthosoma sagittifolium (Tannia)
Plantae,Tracheophytes,Monocotyledons,Arecales,Arecaceae,Cocos,Cocos nucifera (Coconut)
Plantae,Tracheophytes,Monocotyledons,Arecales,Arecaceae,Elaeis,Elaeis guineensis (Oil Palm)
Plantae,Tracheophytes,Monocotyledons,Arecales,Arecaceae,Areca,Areca catechu (Arecanut)
Plantae,Tracheophytes,Monocotyledons,Asparagales,Asphodelaceae,Aloe,Aloe vera (Kattarvazha)
Plantae,Tracheophytes,Monocotyledons,Asparagales,Orchidaceae,Vanilla,Vanilla planifolia (Vanilla)
Plantae,Tracheophytes,Monocotyledons,Asparagales,Orchidaceae,Curculigo,Curculigo orchioides (Black musli)
Plantae,Tracheophytes,Monocotyledons,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea alata (Greater Yam)
Plantae,Tracheophytes,Monocotyledons,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea esculenta (Lesser Yam)
Plantae,Tracheophytes,Monocotyledons,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea rotundata (White Yam)
Plantae,Tracheophytes,Monocotyledons,Liliales,Liliaceae,Allium,Allium cepa (Onion)
Plantae,Tracheophytes,Monocotyledons,Liliales,Liliaceae,Allium,Allium sativum (Garlic)
Plantae,Tracheophytes,Monocotyledons,Liliales,Liliaceae,Asparagus,Asparagus racemosus var. javanicus (Sathavari)
Plantae,Tracheophytes,Monocotyledons,Poales,Bromeliaceae,Ananas,Ananas comosus (Pineapple)
Plantae,Tracheophytes,Monocotyledons,Poales,Cyperaceae,Cyperus,Cyperus rotundus (Nut grass)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Panicum,Panicum sumatrense (Little millet)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Paspalum,Paspalum scorbiculatum (Kodo millet)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Zea,Zea mays (Maize)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Oryza,Oryza sativa (Rice)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Eleusine,Eleusine coracana (Finger millet)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Saccharum,Saccharum officinarum (Sugarcane)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Cynodon,Cynodon dactylon (Bermuda)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Pennisetum,Pennisetum purpureum (Napier)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Panicum,Panicum maximum (Guinea)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Brachiaria,Brachiaria mutica (Para)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Bambusa,Bambusa arundinacea (Thorny bamboo)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Chrysopogon,Chrysopogon zizanioides (Vettiver)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Cymbopogon,Cymbopogon flexuosus (Lemon grass)
Plantae,Tracheophytes,Monocotyledons,Poales,Poaceae,Cymbopogon,Cymbopogon martinii var. motia (Palmarosa)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Marantaceae,Maranta,Maranta arundinaceae (Arrow root)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Musaceae,Musa,Musa spp. (Banana)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Elettaria,Elettaria cardamomum (Cardamom)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale (Ginger)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Curcuma,Curcuma amada (Mango ginger)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa (Turmeric)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Kaempferia,Kaempferia galanga (Kachura)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Kaempferia,Kaempferia rotunda (Resurrection lily)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Curcuma,Curcuma aromatica (Aromatic turmeric)
Plantae,Tracheophytes,Monocotyledons,Zingiberales,Zingiberaceae,Alpinia,Alpinia calcarata (Snap ginger)
Plantae,Tracheophytes,Dicotyledons,Apiales,Apiaceae,Daucus,Daucus carota (Carrot)
Plantae,Tracheophytes,Dicotyledons,Apiales,Apiaceae,Coriandrum,Coriandrum sativum (Coriander)
Plantae,Tracheophytes,Dicotyledons,Apiales,Apiaceae,Cuminum,Cuminum cyminum (Cumin)
Plantae,Tracheophytes,Dicotyledons,Apiales,Apiaceae,Foeniculum,Foeniculum vulgare (Fennel)
Plantae,Tracheophytes,Dicotyledons,Apiales,Apiaceae,Centella,Centella asiatica (Pennywort)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Raphanus,Raphanus sativus (Radish)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica rapa (Turnip)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica oleracea var. capitata (Cabbage)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica oleracea var. botrytis (Cauliflower)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Raphanus,Raphanus sativus (Radish)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica juncea (Indian mustard)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica juncea spp. juncea (Indian Mustard)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Caricaceae,Carica,Carica papaya (Papaya)
Plantae,Tracheophytes,Dicotyledons,Brassicales,Moringaceae,Moringa,Moringa oleifera (Drumstick)
Plantae,Tracheophytes,Dicotyledons,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus spp. (Amaranth)
Plantae,Tracheophytes,Dicotyledons,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris (Beet root)
Plantae,Tracheophytes,Dicotyledons,Caryophyllales,Plumbaginaceae,Plumbago,Plumbago rosea (Plumbago)
Plantae,Tracheophytes,Dicotyledons,Cucurbitales,Cucurbitaceae,Momordica,Momordica charantia (Bitter gourd)
Plantae,Tracheophytes,Dicotyledons,Cucurbitales,Cucurbitaceae,Lagenaria,Lagenaria siceraria (Bottle gourd)
