Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,Subspecies
Protozoa,Plasmodiophoromycota,,Plasmodiophoromycetes,,Plasmodiophorales,Plasmodiophoraceae,Plasmodiophora,Plasmodiophora brassicae,
Protozoa,Plasmodiophoromycota,,Plasmodiophoromycetes,,Plasmodiophorales,Plasmodiophoraceae,Spongospora,Spongospora subterranea,Spongospora subterranea f. sp. Subterranea
Protozoa,Plasmodiophoromycota,,Plasmodiophoromycetes,,Plasmodiophorales,Plasmodiophoraceae,Polymyxa,Polymyxa graminis,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium aphanidermatum,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium myriotylum,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Pythiales,Pythiaceae ,Pythium,Pythium graminicolum,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Phytophthora,Phytophthora infestans,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Phytophthora,Phytophthora palmivora,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Plasmopara ,Plasmopara viticola,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Peronospora ,,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Basidiophora,,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Bremia,,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Peronosporales,Peronosporaceae ,Sclerospora,Sclerospora graminicola,
Chromista,Oomycota,,Oomycetes,Peronosporomycetidae,Albuginales,Albuginaceae,Albugo,Albugo candida,
Fungi,Chytridiomycota,,Chytridiomycetes,,Chytridiales,Synchytriaceae,Synchytrium,Synchytrium endobioticum,
Fungi,Chytridiomycota,,Chytridiomycetes,,Spizellomycetales,Olpidiaceae,Olpidium,Olpidium brassicae,
Fungi,Zygomycota,Mucoromycotina,,,Mucorales,Mucoraceae,Mucor,,
Fungi,Zygomycota,Mucoromycotina,,,Mucorales,Mucoraceae,Rhizopus,,
